date,Bo,Bombali,Bonthe,Kailahun,Kambia,Kenema,Koinadugu,Kono,Moyamba,Port Loko,Pujehun,Tonkolili,Western Rural,Western Urban
2014/11,113,61,6,99,16,100,24,39,18,19,7,22,8,265
2014/12,94,36,13,96,13,140,18,19,18,20,9,12,163,159
2015/1,130,83,15,70,46,100,41,50,52,83,35,30,120,165
2015/10,120,50,63,60,50,100,50,60,57,90,20,50,100,150
2015/11,120,65,54,60,50,100,47,60,57,90,29,38,100,150
2015/12,120,50,52,60,53,100,50,60,50,87,38,50,100,150
2015/2,120,81,31,76,48,115,41,44,56,92,38,28,100,150
2015/3,120,87,30,83,43,100,38,37,70,93,38,25,100,156
2015/4,109,42,35,65,44,92,32,41,41,65,37,36,81,129
2015/5,120,58,51,66,51,100,48,54,54,89,35,44,100,150
2015/6,120,60,52,58,62,100,69,62,53,78,35,21,100,150
2015/7,120,70,54,71,50,100,50,49,54,90,32,30,100,150
2015/8,120,68,54,61,65,100,47,59,53,75,33,35,100,150
2015/9,130,70,49,50,44,110,47,60,61,73,29,37,110,150
2016/2,120,55,52,60,60,100,50,60,50,80,38,45,100,150
